name,requirement,description,company
服务零售-后端开发工程师（用户增长方向）,"1、本科及以上学历，计算机或者相关专业，具备扎实的编码能力。
2、3年及以上Java开发经验，扎实的Java基础，熟悉Java EE、微服务、Http等相关技术。
3、熟悉Spring、MyBatis等开源框架，Redis、消息队列等中间件，对上述框架或中间件的原理有研究的优先。
4、熟悉MySQL数据库应用以及常用性能诊断和优化技术。
5、熟悉大规模Web应用开发，有一定的性能优化和系统安全的实践，有大型互联网Web开发和性能调优经验的优先。 
6、能承受较大的工作压力，有责任心和上进心，能通过持续学习完善自身。
7、有较强的客户服务、产品意识、沟通能力、团队协作能力、项目管理经验者优先。","1、主导业务项目的方案设计、开发和交付；
2、参与系统的高可用建设，做好系统日常运维，确保系统稳定；
3、参与设计并完成架构演进的落地实施；
4、发现并解决当前系统中存在的问题，持续提升系统效率和质量；
5、指导新人，积极输出实践经验，促进共同进步。",meituan
口腔和眼部健康大客户销售主管,"1.大学本科及以上学历，口腔和眼部健康相关专业优先。
2.具备3年以上口腔和眼部健康产品销售经验，熟悉大客户销售模式。
3.具有良好的沟通能力和团队合作精神，能够独立开展业务拓展工作。
4.对销售业绩有较强的责任心和执行力，具备较强的市场洞察力和竞争意识。","1.负责口腔和眼部健康产品在大客户市场的业务拓展和销售工作，制定销售计划并执行，实现销售目标。
2.负责开发和维护大客户关系，建立长期合作伙伴关系，提升客户满意度。
3.跟进市场动态，了解竞争对手信息，制定有效的市场推广策略。
4.分析市场需求和产品反馈，及时调整销售策略和方案。",meituan
高级Java开发工程师（营销活动方向）,"1.本科及以上学历，计算机相关专业优先，3年以上Java开发经验，有架构设计经验为佳。
2.扎实的JAVA编程和数据结构基础，熟悉设计模式，能编写出清晰简洁的高质量代码。
3.熟悉数据存储常用介质的原理、使用和性能优化，有一定的数据分析能力。
4.熟悉分布式、缓存、消息、RPC等机制，能对中间件进行深入实践，解决问题。
5.有较强的逻辑思维及沟通能力，可以推动重要举措落地与实施，并对结果负责。","1.负责营销活动、用户增长技术体系建设，提升活动开发效率和效果，探索新玩法形式。
2.负责设计和建设营销平台，确保在高并发、高可用、高性能场景下系统稳定运行。
3.深度理解业务需求，与产品、设计、测试等团队紧密协作，推动项目高质量交付。
4.持续跟踪行业技术趋势，探索将AI技术融入营销核心流程，助力业务发展。",meituan
客户端基建技术负责人,"1. 本科及以上学历，计算机相关专业，5年以上移动端或客户端开发经验，至少2年以上性能优化或稳定性提升的工作经验。
2. 曾在大型公司或互联网公司担任技术负责人或类似职位，具有丰富的产品性能优化或稳定性改进的实际经验。
3. 熟悉主流移动操作系统（iOS、Android）的性能调优工具及方法，如Xcode Instruments、Android Profiler等。
4. 熟练掌握多种性能优化手段，如内存管理、线程优化、网络优化等，具备高性能、高可用性的产品设计能力。
5. 具有强烈的分析和解决问题的能力，能够快速定位性能瓶颈。
6. 良好的沟通能力和团队合作精神，能够在多团队、多职能的环境下推动工作进展。","1. 性能优化: 负责分析并优化客户端应用的性能，包括启动时间、响应时间、内存占用、CPU使用等，确保应用在各类设备上的流畅度。
2. 跨团队协作: 与开发团队、测试团队以及产品团队紧密合作，收集用户反馈和需求，持续改进产品的核心体验。
3. 数据驱动决策: 利用数据分析工具，监控和评估客户端性能指标，制定优化方案并实施。
4. 技术方案设计与实施: 提出并实施针对客户端性能的技术解决方案，推广最佳实践，确保技术方案的有效落地。
5. 团队建设与管理: 组建并领导优化团队，提供技术指导与培训，推动团队在性能优化和稳定性领域的不断进步。",meituan
资深Java开发工程师(算法工程方向),"1. 3年以上互联网研发工作经验；
2. 具备扎实的计算机基础和良好的编码风格，精通常用的数据结构与算法；
3. 熟练掌握Java语言、了解JVM原理，理解搜索、推荐等系统相关知识并能应用于在线算法架构及性能优化等； 
4. 掌握分布式缓存、消息队列的使用，熟悉大型分布式、高并发、高负载、高可用性系统设计和开发； 
5. 具备良好的团队协作能力，有较强的逻辑思维能力，善于分析、归纳、解决问题，持续学习和总结，自我迭代。","1. 负责大众点评评价系统算法架构设计与开发，通过架构抽象和优化，提升工程、算法、产品的迭代效率；
2. 快速深刻理解算法和产品需求，保障用户使用点评评价的体验持续迭代优化；
3. 参与大众点评评价后端系统的架构演进，针对高度复杂的评价领域模型和数十亿的数据量，不断优化核心架构，确保系统架构的合理性和前瞻性",meituan
产品运营-直播产品运营,"1、本科及以上学历，3年以上交易相关产品运营工作经验，能应对较为复杂的业务场景；

2、有owner意识，主观能动性强，良好的横向沟通能力，逻辑性强，对交易数据有较强的敏感度；

3、优秀的用户sense和内容sense，有本地生活交易类运营工作经验优先；

4、相信AI带来的巨大变革，对AI技术能力有一定的理解更佳","1、负责AI直播相关的产品运营工作，为AI直播的规模与转化效果负责；

2、负责AI直播全链路的运营工作，基于直播的数据推进直播运营策略迭代，包括不限于直播选品、营销设定、内容优化等；

3、能识别直播运营过程中的效率问题，抽象产品需求，推进相关产品能力迭代。",meituan
视听问诊运营,"1、具备4年以上用户运营或行业运营经验，能制定出对应的用户、医生、问诊的运营策略；
2、具备数据化运营意识与完善运营策略的能力，责任心强，擅长跨团队沟通协作； 
3、对医药健康行业富有热情，学习能力强且积极主动。","1.负责视听问诊（视频问诊和电话问诊）产品的运营策略制定和执行，包括用户增长和留存等方面的工作；
2.对视听问诊的用户端和医生端的供需匹配策略负责，不断提升视听问诊的订单和交易额；
3.负责与产品、技术团队合作，推动产品功能和体验的优化；
4.负责数据分析和供需监控，并制定和调整相应的业务措施。",meituan
服务零售-重决策及履约组-后端开发实习生,"1.参与综-LifeEvent-项目的开发工作，负责软件开发和编码工作。
2.根据项目需求，进行系统设计、编写代码和进行单元测试，确保代码的质量和稳定性。
3.参与需求讨论和技术评审，提出合理的技术解决方案。
4.负责项目文档的编写和维护，包括技术设计文档、接口文档等。
5.配合测试人员进行系统测试和问题修复，确保系统的正常运行。
6.不断学习新的技术和工具，提升开发效率和质量。","1.参与综-LifeEvent-项目的开发工作，负责软件开发和编码工作。
2.根据项目需求，进行系统设计、编写代码和进行单元测试，确保代码的质量和稳定性。
3.参与需求讨论和技术评审，提出合理的技术解决方案。
4.负责项目文档的编写和维护，包括技术设计文档、接口文档等。
5.配合测试人员进行系统测试和问题修复，确保系统的正常运行。
6.不断学习新的技术和工具，提升开发效率和质量。",meituan
资深Java开发专家（公信力系统研发）,"（1）4年以上Java后端研发经验，熟悉设计模式，能编写出清晰简洁的高质量代码；
（2）优秀的逻辑能力，能够根据业务逻辑变化进行抽象和拆分，有较丰富的架构设计实践经验；
（3）热爱技术，有较好数据驱动及业务思维，能从用户及业务视角思考并解决问题；
（4）有强烈求知欲，良好的学习和沟通协作能力，可以推动重要技术落地与实施;","（1）开发新型智能公信力系统，从作者侧、商户侧、消费侧和运营管理侧分别推进系统能力建设，技术驱动业务迭代，建设优秀的风险感知、识别、决策及处置的系统能力，全面赋能业务高质量安全发展。
（2）与公信力产品、策略及运营团队紧密配合，建设高价值公信力工具链，提升公信力风控运营效率与效果；
（3）主导技术架构设计与实施，梳理系统架构、可扩展性与工程质量，推进系统能力提升。
（4）指导和培养团队初阶工程师，提升团队技术能力，保证团队高质量、高效率进行技术建设与需求交付。",meituan
评价产品研发负责人,"（1）有大规模用户端工程系统的建设经验，具备较强工程架构能力和业务洞察能力； 
（2）计算机专业基本功扎实，具备良好的编程基础和数据结构算法基础，较强的编程能力和问题解决能力； 
（3）具有5年以上的技术管理经验，有较强的自我驱动和团队驱动力； 
（4）有较强责任心和团队合作精神，能够与产品、运营团队合作共赢，拿到业务结果。","（1）面向评价业务持续迭代需求，从创作侧、消费侧和运营管理侧分别推进工程及系统能力建设，技术驱动业务迭代，建设优秀的创作工具、良好的消费体验和精细化运营管理能力，全面赋能业务发展；
（2）主导系统架构设计，承接由业务特性带来的规模性问题和复杂性问题，并有效保障系统的稳定性。",meituan
资深Java开发工程师（评价产品方向）,"（1） 本科及以上学历，计算机及相关专业，5年以上互联网研发工作经验； 
（2） 具有扎实的计算机科学功底，扎实的编程基础和数据结构算法基础，能编写高质量、简洁清晰的代码； 
（3） 精通Java，具备复杂业务系统的分析与设计经验，具备线上服务稳定性保障能力；
（4） 拥有业务架构、领域驱动、设计模式、重构等降低业务复杂度的实践经验；
（5） 具备优秀的业务理解能力，能够主动从业务问题出发提出技术解决方案；
（6） 具有良好的分析解决问题能力，具有主人翁意识和自驱力，具有良好的沟通协作能力；","（1）支撑城市运营形态的探索，深入理解业务，理解商家诉求和运营诉求，设计出高效的招商系统与运营系统，帮助评价业务取得高质量的增长；
（2）负责城市运营系统的可用性建设、性能优化、故障排查和解决、安全加固等工作，保证系统的长期稳定运行；
（3）负责指导和培养团队初阶工程师，提升团队整体业务能力和技术能力，保证需求高质量、高效率实施落地。",meituan
增长产品经理,"1）大学本科及以上学历，3年+用户增长经验，了解用户激励、用户触达、渠道投放等增长方式，有视频类用户增长经验优先
2）对用户体验有深刻理解，能够在产品设计和功能迭代中始终保持用户为中心的思维
3）具备良好的跨部门沟通和协调能力，较强的项目管理能力","1）负责美团视频用户增长策略的制定与执行，通过产品功能优化和创新，提升美团视频用户规模
2）分析用户行为行为数据，洞察用户需求，设计不同的增长和转化场景
3）与运营、研发、算法团队紧密合作，确保用户增长目标的实现，并通过持续优化保持产品竞争力",meituan
星级策略负责人,"（1）5年以上算法项目实践经验，熟练掌握常见机器学习、深度学习算法，并且对业界相关领域有密切的跟踪；
（2）具备优秀的问题定义和分析能力，业务理解力强，善于通过技术前置帮助业务，形成策略驱动型合作模式；
（3）具备良好的项目管理能力和沟通能力，能够跨团队高效合作，工作积极主动、责任心强，极度关注客户；
（4）具备10人左右的算法团队管理经验，能够带领团队拿到结果。","（1）负责大众点评星级策略工作，深入理解本地生活行业，以提升星级体验为目标，提供完善的星级计算策略解决方案。
（2）负责大众点评指数榜单策略工作，以提升榜单质量和影响力为目标，建设真实可信赖的榜单体系，协同跨团队合作沟通，保障项目进度和效果。",meituan
高级Java开发工程师（生态治理技术）,"1. 本科及以上学历，计算机及相关专业，3年以上互联网研发经验。

2. 精通Java技术栈，熟练掌握MySQL/Redis等存储技术，有Kafka/Flink等流处理框架经验。

3. 熟悉常用的设计模式、架构模式，具备良好的编程能力和代码风格。

4. 熟悉分布式系统的设计和应用，并且具备扎实的系统稳定性保障能力。

5. 具备优秀的业务理解能力，能够主动从业务问题出发提出技术解决方案。

6. 具备良好的沟通协调能力、较强的逻辑分析能力以及优秀的学习能力。","1. 深入理解业务需求，能在内容、作者、评论等多个治理方向上，有效沟通、协调和细化需求，并能推进技术方案在复杂场景下的实施。

2. 主导生态治理系统的架构演进，通过引入先进的技术策略和创新解决方案，以构建高效、可靠、智能化的生态治理体系。

3. 积极输出实践经验，负责指导和培养团队初阶工程师，以促进团队成员共同进步。",meituan
策略运营实习生（商分方向）,"1、具备良好的数理逻辑思考能力、业务理解能力和沟通表达能力；
2、对数据敏感，学习能力强，能够快速掌握公司内部各种数据工具；
3、熟练使用Hive/SQL，掌握基本的数据可视化和统计方法，并有相关实习经历；
4、数学、统计、计算机相关专业优先；
5、一周5天，并能持续5个月及以上。","1、日常数据需求和数据监控：按照各业务数据需求进行数据提取和报表输出，并进行日常数据报表的监测，能够及时发现问题并分析数据异常原因； 
2、异动归因：数据监控并识别异动，进行异动分析，归因业务原因，产出结论；
3、业务数据分析：协助进行专题分析，深挖数据体现的业务问题，产出有应用性的数据结论； 
4、策略评估：协助进行策略分析工作，产出实验效果和结论；
5、完成mentor交代的其他工作。",meituan
多模态算法工程师,"1、对基于图像、视频、语音、文本等模态内容的各类算法算法有一定的理解，包括不限于图像/视频理解、检测、分割、OCR、人脸、ASR、文本生成等；
2、工程能力强，熟练掌握Python语言，有成功的项目经验；
3、熟悉常见的机器学习和深度学习算法，熟练使用至少一种深度学习框架，如Pytorch、TensorFlow、MXNet等；
4、对学术前沿有浓厚兴趣，时刻跟进技术前沿，并善于利用各类技术解决复杂的实际问题，有良好的沟通表达能力；
5、【加分】在顶级会议或期刊上发表过有影响力的学术论文或在重要算法比赛中取得过前几名的优异成绩。
6、 具备良好的沟通协调能力和团队合作精神，能够与不同部门和层级的人员进行有效沟通和协作。","1. 协助完成多模态、视觉、NLP等算法相关领域的研究工作，包括但不限于：模型pretrain、多模态融合、多模态对齐、多模态内容理解及相关的大中小的模型等等。
2、依托海量真实业务数据，在CV/NLP/多模态等方向的单点技术上进行前沿技术研究和业务落地，核心解决真实的业务场景问题。
3、研发更高效利用多模态信息的方法，深入挖掘短视频各个模态中包含的有价值信息，对多模态语料进行各个维度上的充分理解。
4、负责计算机多模态理解方向前沿问题的研究，参与建设并持续保持部门在多模态业界的技术先进性，保持创新的同时将业界SOTA模型持续优化并落地至线上获得收益。",meituan
住宿-商家供给-高级前端开发工程师,"1.精通前端技术，如HTML5、CSS3、ES6/7、React、Vue、小程序等开发；
2.具有一定的后端开发经验，了解Node.js、Python等语言；
3.熟悉前端工程化，熟练使用Webpack、Gulp等构建工具，并能进行性能调优；并熟悉小程序开发流程及规范；
4.熟悉Web安全和Web标准，并熟练掌握RESTful、GraphQL、WebSocket等网络通信协议；
5.有良好的编程习惯和代码规范，能够编写高质量的代码；
6.能够独立完成复杂的前端项目，包括设计、实现和维护，并有相关的项目经验；
7.具备良好的沟通能力和团队合作精神，能够承受工作压力。
8.对新技术有强烈的学习欲望和自我驱动力，具备良好的解决问题能力。","1. 深入B端供应链业务，与业产研深度合作，包括但不限于需求分析、系统设计、编码实现、测试和维护等工作。
2.负责前端技术选型和架构设计，保证系统的稳定性和性能。
3.与产品经理、设计师和后端工程师密切合作，共同完成项目开发任务。
4.参与团队技术分享和培训，提升团队整体技术水平。",meituan
视频场景营销策略专家,"1、本科及以上学历，有行业运营&营销经验，有产品运营能力。
2、强目标导向，具备跨团队复杂项目的全生命周期管理能力，能抓住核心矛盾，对目标和需求进行拆解，制定Roadmap并推动落地。
3、善于分析数据，可以通过数据洞察品类机会（会SQL优先），对逻辑复杂的现状具备拆解、归纳的能力。","1、围绕激励视频特色，设计场景交易玩法（激励型营销噱头&行业联运策略）、对下单UV和转化效率负责。
2、保持对行业活动敏感性，伴随核心行业的S级营销节点及重点项目，在视频场景内实现货盘和场景的深度联运。
3、设计可复制的营销方案，实现与KA商家的长期联运并在视频场景投入广告。
4、具备成熟的产品运营及数据分析能力，可以通过优化产品能力助力业务订单量的增长。",meituan
服务零售-搜推后端工程师,"1、本科及以上学历，2年及以上后端开发经验，思维活跃；对技术充满热情，敢于尝试不同的技术，从技术趋势和思路上能影响技术团队；
2、JAVA/C++基础扎实，熟悉常用的数据结构和算法设计，理解IO、多线程、集合等基础框架，对JVM原理有一定的了解；
3、掌握多线程及高性能的设计与编码及性能调优，有高并发应用开发经验；深度理解分布式计算和存储的关键问题和主流架构，有大规模分布式系统开发经验；
4、善于交流，有良好的团队合作精神和协调沟通能力，有跨团队的合作经验和意识；
5、有至少1年以上大型互联网推荐、广告、搜索相关的工程研发经验；","1、负责美团到综搜索推荐场景的系统设计和开发工作；
2、结合美团到综业务场景，推动搜索推荐架构的升级改造，满足产品的迭代需求，提高研发效率；
3、负责美团到综搜索推荐后端业务系统的服务稳定和系统调优；
4、持续跟踪业界新技术，沉淀技术方法论，形成知识传播，帮助团队成员成长。",meituan
到综商服专家,"1.大专以上学历；
2.一年及以上客服类相关工作经验； 
3.有良好的跨部门沟通，协同合作能力，良好的谈判沟通能力和情绪自我调节能力，有良好的服务意识；
4.可接受排班排休工作制度；
5.具有良好的执行能力。","1.负责受理美团各业务的投诉处理，为用户提供及时有效的解决方案；
2.需要跨部门沟通协作，坚持以客户为中心高效解决客户投诉，提升客户满意度； 
3.需通过分析客诉，从客户角度出发，针对业务流程及工作流程提出合理化建议；  
4.及时上报可疑事件及紧急问题。",meituan
高级Java开发工程师（内容商业化方向）,"1. 本科及以上学历，3年以上Java开发经验； 
2. Java基础扎实，理解IO、多线程、集合等基础框架，对JVM原理有一定的了解，熟悉Spring、MyBatis等主流的Java开源框架，并清楚其实现原理； 
3. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制，能对分布式常用技术进行合理应用，解决问题； 
4. 熟练掌握数据库原理、常见的性能调优和可扩展性设计； 
5. 熟悉常用的设计模式、架构模式，具备良好的编程能力和代码风格； 
6. 具备良好的沟通协调能力、较强的逻辑分析能力、快速的学习能力。","1. 负责大众点评商达撮合业务系统的研发工作，构建和维护包括供给管理、撮合交易、清结算等系统能力； 
2. 深入理解业务并承接相关需求的技术设计与开发，与业务高效沟通并进行拆解细化和落地实施；
3. 负责商达撮合系统的架构演进，对复杂问题进行拆解和落地，保障系统架构的合理性和前瞻性，提升系统可扩展性和稳定性； 
4. 积极输出实践经验，负责指导和培养团队初阶工程师，促进团队成员共同进步。",meituan
智能审核算法工程师(大模型方向),"1.硕士研究生及以上学历，计算机相关专业背景。
2.至少3年以上算法开发经验，熟悉大模型调优和应用。
3.熟悉常见的机器学习和深度学习算法，具备良好的编程能力。
4.具备良好的团队合作意识和沟通能力。","1.负责大模型审核算法的设计、开发和优化，包括大模型的构建和调优。
2.负责研究和落地前沿技术，提升审核系统的效率和准确率。
3.参与制定智能审核系统的技术规划和发展方向。",meituan
大众点评-高级移动客户端研发（增长方向）,"1.本科及以上学历，计算机相关专业优先
2.具备扎实的软件开发基础知识，熟悉移动客户端（Android/iOS/鸿蒙）开发技术
3.具有丰富的移动客户端开发经验，熟悉用户增长和用户留存相关技术
4.具备数据分析能力，能够利用数据驱动的方式优化产品和推动用户增长","1.负责配合产品完成移动客户端增长策略需求的研发落地，提升用户留存率和活跃度
2.负责分析用户行为数据，优化产品功能和用户体验，提高用户参与度
3.负责开发和优化用户增长相关的功能模块，提升日活、留存、转化率等核心业务指标，包括但不限于Push、唤起、落地页等功能的研发与优化
4.负责从技术层面制定和规划短长期技术发展路线，助力长期稳定的业务增长",meituan
招聘HR实习生,"1.大学本科及以上学历，人力资源管理、心理学或相关专业优先考虑。
2.具备良好的沟通能力和团队合作意识，能够与各部门有效配合。
3.熟悉招聘流程和相关法律法规，了解常用的招聘渠道和方法。
4.具备较强的组织和协调能力，能够有效安排面试和处理各类招聘事务。
5.具备较强的学习能力和适应能力，能够快速融入团队并承担工作压力。","1.协助招聘经理完成招聘计划，负责招聘流程中的简历筛选、面试安排等工作。
2.负责编写并发布招聘广告，通过各种渠道积极寻找合适的候选人。
3.跟进招聘流程，与候选人进行沟通，安排面试并提供必要的面试反馈。
4.维护和更新招聘数据库，确保招聘信息的准确性和及时性。",meituan
增长策略运营,"1）本科及以上学历，3年及以上增长运营经验，有流量相关策略运营经验优先
2）具备优秀的商务谈判能力和沟通协调能力，能够与不同类型的合作伙伴建立良好的合作关系
3）熟练掌握数据分析软件，具备较强的数据敏感度和数据分析能力，能够通过数据驱动决策
4）结果导向，有自驱力，有主人翁意识和团队精神，工作主动积极交付结果","1）通过与内外部优质渠道建立流量合作，实现短视频DAU增长，为渠道用户规模负责
2）挖掘短视频场域内流量，推动渠道合作基础能力搭建，制定用户差异化流量管理策略，匹配渠道增长目标
3）制定合作渠道用户承接策略，提升渠道用户留存、消费时长与商业化收入，提升渠道 ROI",meituan
策略运营专家,"1、	本科及以上学历；5年以上服务运营相关工作经验；
2、	懂业务、懂服务，有较强的逻辑思考能力，能完成复杂运营指标的拆解，采用运营思维，能够善于发现问题并形成方案推进改善。
3、	具备数据挖掘能力，思维严谨，善于从数据中发现规律，能独立分析解决问题；
4、	责任心强，有学习精神，逻辑清晰，具备较强的团队合作精神。","1、 对服务体验和服务成本具有较强的敏感度，针对业务策略、服务异动、环境变化能及时、较准确的识别和预判风险，制定应对的运营策略，并形成具体的改善方案。
2、过日常服务数据的拆解，采用多维度的分析和定位工具，找到体验痛点，输出专业的结论推动业务及其他相关方进行体验改善，做好服务线上、线下全链路持续改善，且拿到结果。 
3、负责中型复杂项目跟进，能够围绕项目目标拆解项目落地策略，并实施拿到结果。",meituan
客户资金管理负责人,"1.大学本科以上学历，金融、经济学或相关专业背景优先考虑。
2.拥有8年以上相关工作经验，熟悉资金管理业务流程和操作规范。
3.具备良好的团队管理和领导能力，能够有效指导团队成员，推动团队目标的实现。
4.具备较强的沟通和协调能力，能够与各个层级的内外部合作伙伴进行有效的合作和协商。
5.具备较强的问题分析和解决能力，能够迅速响应和处理资金管理过程中的风险和问题。","1.负责支付公司客户资金管理业务的规划、设计和实施，确保资金的安全、高效使用。
2.负责团队的组建和管理，包括员工培养、绩效考核和团队目标的达成。
3.跟进市场动态和竞争对手情况，及时调整资金管理策略，以提高客户资金的回报率。
4.分析和解决资金管理过程中的问题和风险，制定相应的控制措施，确保资金流程的合规性。
5.与内部各部门紧密合作，协调资金使用的各项需求，提供相关的战略和决策支持。",meituan
到餐客服在线,"1.大专及以上学历；
2.普通话标准，沟通表达清晰，能够听取用户的声音和意见，厘清客户需求，并能够表达建议的解决方案；
3.能够熟练操作电脑，打字速度至少45字/分钟以上，准确率达到95%；
4.具有良好的服务意识，可接受排班排休工作制度。","1.接听/在线方式解决美团全国消费者/商家的问题反馈，提供最清晰、最有效的服务；
2.根据每位用户的性格和情景采用不同的沟通方式，主导沟通过程；
3.遵照流程但不局限于现有流程，站在用户角度为其提供最卓越的服务；
4.能够预测并发现用户潜在的问题，提前为用户解决，减少用户后期的来电；
5.保证服务质量，善于总结和归纳问题，并提出解决问题方法。",meituan
到综客服专家15,"1.大专以上学历；
2.一年及以上客服类相关工作经验； 
3.有良好的跨部门沟通，协同合作能力，良好的谈判沟通能力和情绪自我调节能力，有良好的服务意识；
4.可接受排班排休工作制度；
5.具有良好的执行能力。","1.负责受理美团各业务的投诉处理，为用户提供及时有效的解决方案；
2.需要跨部门沟通协作，坚持以客户为中心高效解决客户投诉，提升客户满意度； 
3.需通过分析客诉，从客户角度出发，针对业务流程及工作流程提出合理化建议；  
4.及时上报可疑事件及紧急问题。",meituan
到综客服专家,"1.大专以上学历；
2.一年及以上客服类相关工作经验； 
3.有良好的跨部门沟通，协同合作能力，良好的谈判沟通能力和情绪自我调节能力，有良好的服务意识；
4.可接受排班排休工作制度；
5.具有良好的执行能力。","1.负责受理美团各业务的投诉处理，为用户提供及时有效的解决方案；
2.需要跨部门沟通协作，坚持以客户为中心高效解决客户投诉，提升客户满意度； 
3.需通过分析客诉，从客户角度出发，针对业务流程及工作流程提出合理化建议；  
4.及时上报可疑事件及紧急问题。",meituan
Keeta-商业分析师（资源策略规划）,"1、4年及以上互联网商业分析经验，对所在领域的商业和业务逻辑有深刻理解，有预算管理/用户运营经验优先
2、逻辑思维能力强，具备较强的全局视角和细节把控能力
3、熟练使用SQL，能取数、分析、撰写高质量分析报告，并提出观点洞察
4、具备项目推进能力，擅长与业务方沟通
5、强目标导向，自我驱动能力强，善于总结和提炼","1、基于业务目标要求，制定长短期补贴投入规划，统筹业务方补贴策略保障规划落地
2、剖析用户交易行为，洞察不同补贴工具/补贴项目对交易增长的驱动作用，调优补贴分配，牵引业务策略迭代
3、负责各类资源项目的效率评估，关注新工具的潜力，找到高效投入的机会点
4、参与重要补贴项目的目标制定、实验设计、过程监控、效率及效果评估，推动项目按规划落地",meituan
Keeta-商业分析师（资源效率评估）,"1、统计学、数学、计量经济学等统计课程较多的专业；对常用机器学习算法模型有一定了解，能熟练使用python/R来实现统计公式、因果模型；
2、熟悉实验全流程的关键点，并参与过重大项目的复杂实验设计；
3、具备项目推进能力，擅长与业务方沟通
4、强目标导向，自我驱动能力强，善于总结和提炼
5、3年以上工作经验，对所在领域的商业和业务逻辑有深刻理解","1、针对外卖业务下各类决策场景（包括营销、投放、产品设计等），研究、设计和实现更合理的科学实验方法，包括但不限于ABTest、Causal Impact、工具变量法、时间片轮转等，得到准确的效果评估并支撑科学决策；
2、建立并优化科学实验，与产研共同推动实验分析平台升级，并在一线各级业务团队中提升实验科学的使用心智；
3、通过对实验结果的进一步复盘分析和犀利解读，挖掘业务增长机会点，引导业务精力聚焦到正确的策略方向上，驱动外卖业务高效增长；
4、承担外卖重要业务的BP角色，推动业务目标落地，具体方式包括但不限于目标测算、洞察分析、策略建议等。",meituan
点评基础技术算法工程师,"1. 有扎实的编程基础、良好的编程风格和工作习惯，扎实的数据结构和算法功底。
2. 在机器学习或者自然语言处理领域有扎实的基础和实践经验。
3. 有优秀的业务理解和数据分析能力，熟练应用常用的大数据处理技术（Spark/Hive等）。
4. 目标感强，善于分析和发现问题并拆解落地，具备良好的团队协作和沟通能力。","1. 负责点评基础技术社区，基于LBS和关系链的场景推荐算法，包括召回、排序等核心模块的效果优化和业务需求。
2. 负责点评基础技术社区，用户和内容理解的相关工作，包括用户关系链、美食内容理解等，并使用大模型等前沿技术驱动业务增长、扩展技术边界。
3. 跟踪技术和产品的前沿趋势，基于点评业务特点探索技术产品的结合创新取得业务效果。",meituan
嵌入式软件开发技术专家,"1. 工作8年以上，精通C/C++、操作系统、数据结构、网络通信等基础知识，掌握常用嵌入式开发环境和调试工具；
2. 精通至少一种CPU体系结构，精通基于MCU和OpenCPU方案嵌入式软件开发相关技术，熟练掌握RT-Thread、FreeRTOS等嵌入式操作系统开发；
3. 精通常用硬件通信接口和技术细节，熟悉常用4G通信模块，深刻理解软硬件协同理念，善于结合硬件来设计解决方案和分析问题，对高可靠性、高扩展性系统设计有深刻理解和实践；
4. 具备良好的分析、定位、解决复杂问题能力，善于学习新知识新技术并应用到业务问题解决中；
5. 具备良好的表达沟通能力和跨团队协作能力。","1. 负责充电宝机柜和宝相关软件技术方案设计、软件架构设计与实现；
2. 负责分析与解决业务运营过程中遇到的问题；
3. 负责提升团队交付效率与交付质量，配合其它团队完成硬件产品化过程。",meituan
Keeta新国储备-C端负责人&策略运营骨干,"1.团队管理能力（适用于负责人岗位）：有团队管理经验，能够招聘、激励、培养团队成员，成功搭建并管理过高效团队，具备组织建设和人才发展的深刻理解；
2.深入理解外卖业务，熟悉C端用户运营、用户分层、用户拉新、新老客运营、营销活动、补贴策略、数据分析等各模块并有相关实战经验；
3.较强的策略规划、逻辑思考、沟通协调、资源整合能力，能深度思考问题并提出有效解决方案，有效推动团队合作；
4.结果导向，具备较强的自驱力、学习能力，韧性强，能够从不同领域汲取经验并迅速应用，能够适应市场不确定性，勇于创新和突破。","C端负责人：
1.负责C端用户拉新、用户运营、营销活动运营及营销工具建设，提供专业指导；
2.推动营销战略的执行和优化，提升用户活跃度和留存率；
3.协调跨部门合作，确保各项运营任务的顺利推进；
4.管理和培养团队，提升团队执行力和绩效。

C端策略运营骨干：
1.负责C端用户拉新、用户运营、补贴策略等模块的策略执行；
2.提供用户运营数据分析和业务优化建议，推动营销活动的落实；
3.参与0到1新业务的开拓，支持业务增长和拓展；
4.协助团队成员提升工作效率和团队合作。",meituan
搜索产品经理（增长方向）,"1.对增长有激情，两年以上搜索或C端相关产品经验，有搜索增长、用户增长、新产品增长等业务经验优先；
2.了解搜索产品运转逻辑，具备产品宏观视角，能自主负责产品设计和落地，有良好的数据分析；
3.对用户需求有深刻理解，擅长从用户使用场景及产品体验角度出发思考问题，具备良好的规划设计、分析拆解能力；
4.跨团队协作能力强，具备优秀的沟通表达能力，具备一定的抗压能力。","1.负责点评搜索的增长策略，深入研究搜索市场的产品和用户，以搜索规模增长为目标，提升用户活跃度；
2.整合内容消费、全网资源、大模型能力、定向唤起等手段促进用户增长和留存；
3.理解用户需求和痛点，通过数据分析、用研等方法洞察探索产品新的增长点、进行产品功能创新;
4.根据业务目标与算法、工程、运营团队配合协作，跟进功能及策略落地、效果验收和迭代优化，推动相关项目高质量落地。",meituan
